station_name,line_name
東京,東海道新幹線
品川,東海道新幹線
新横浜,東海道新幹線
小田原,東海道新幹線
熱海,東海道新幹線
三島,東海道新幹線
新富士,東海道新幹線
静岡,東海道新幹線
掛川,東海道新幹線
浜松,東海道新幹線
豊橋,東海道新幹線
三河安城,東海道新幹線
名古屋,東海道新幹線
岐阜羽島,東海道新幹線
米原,東海道新幹線
京都,東海道新幹線
新大阪,東海道新幹線
新大阪,山陽新幹線
新神戸,山陽新幹線
西明石,山陽新幹線
姫路,山陽新幹線
相生,山陽新幹線
岡山,山陽新幹線
新倉敷,山陽新幹線
福山,山陽新幹線
新尾道,山陽新幹線
三原,山陽新幹線
東広島,山陽新幹線
広島,山陽新幹線
新岩国,山陽新幹線
徳山,山陽新幹線
新山口,山陽新幹線
厚狭,山陽新幹線
新下関,山陽新幹線
小倉,山陽新幹線
博多,山陽新幹線
東京,東北新幹線
上野,東北新幹線
大宮,東北新幹線
小山,東北新幹線
宇都宮,東北新幹線
那須塩原,東北新幹線
新白河,東北新幹線
郡山,東北新幹線
福島,東北新幹線
白石蔵王,東北新幹線
仙台,東北新幹線
古川,東北新幹線
くりこま高原,東北新幹線
一ノ関,東北新幹線
水沢江刺,東北新幹線
北上,東北新幹線
新花巻,東北新幹線
盛岡,東北新幹線
いわて沼宮内,東北新幹線
二戸,東北新幹線
八戸,東北新幹線
七戸十和田,東北新幹線
新青森,東北新幹線
東京,上越新幹線
上野,上越新幹線
大宮,上越新幹線
熊谷,上越新幹線
本庄早稲田,上越新幹線
高崎,上越新幹線
上毛高原,上越新幹線
越後湯沢,上越新幹線
浦佐,上越新幹線
長岡,上越新幹線
燕三条,上越新幹線
新潟,上越新幹線
越後湯沢,上越新幹線(ガーラ湯沢支線)
ガーラ湯沢,上越新幹線(ガーラ湯沢支線)
東京,山形新幹線
上野,山形新幹線
大宮,山形新幹線
小山,山形新幹線
宇都宮,山形新幹線
那須塩原,山形新幹線
新白河,山形新幹線
郡山,山形新幹線
福島,山形新幹線
米沢,山形新幹線
高畠,山形新幹線
赤湯,山形新幹線
かみのやま温泉,山形新幹線
山形,山形新幹線
天童,山形新幹線
さくらんぼ東根,山形新幹線
村山,山形新幹線
大石田,山形新幹線
新庄,山形新幹線
東京,秋田新幹線
上野,秋田新幹線
大宮,秋田新幹線
小山,秋田新幹線
宇都宮,秋田新幹線
那須塩原,秋田新幹線
新白河,秋田新幹線
郡山,秋田新幹線
福島,秋田新幹線
白石蔵王,秋田新幹線
仙台,秋田新幹線
古川,秋田新幹線
くりこま高原,秋田新幹線
一ノ関,秋田新幹線
水沢江刺,秋田新幹線
北上,秋田新幹線
新花巻,秋田新幹線
盛岡,秋田新幹線
雫石,秋田新幹線
田沢湖,秋田新幹線
角館,秋田新幹線
大曲,秋田新幹線
秋田,秋田新幹線
東京,北陸新幹線
上野,北陸新幹線
大宮,北陸新幹線
熊谷,北陸新幹線
本庄早稲田,北陸新幹線
高崎,北陸新幹線
安中榛名,北陸新幹線
軽井沢,北陸新幹線
佐久平,北陸新幹線
上田,北陸新幹線
長野,北陸新幹線
飯山,北陸新幹線
上越妙高,北陸新幹線
糸魚川,北陸新幹線
黒部宇奈月温泉,北陸新幹線
富山,北陸新幹線
新高岡,北陸新幹線
金沢,北陸新幹線
小松,北陸新幹線
加賀温泉,北陸新幹線
芦原温泉,北陸新幹線
福井,北陸新幹線
越前たけふ,北陸新幹線
敦賀,北陸新幹線
博多,九州新幹線
新鳥栖,九州新幹線
久留米,九州新幹線
筑後船小屋,九州新幹線
新大牟田,九州新幹線
新玉名,九州新幹線
熊本,九州新幹線
新八代,九州新幹線
新水俣,九州新幹線
出水,九州新幹線
川内,九州新幹線
鹿児島中央,九州新幹線
新青森,北海道新幹線
奥津軽いまべつ,北海道新幹線
木古内,北海道新幹線
新函館北斗,北海道新幹線
新八雲,北海道新幹線
長万部,北海道新幹線
倶知安,北海道新幹線
新小樽,北海道新幹線
札幌,北海道新幹線
武雄温泉,西九州新幹線
嬉野温泉,西九州新幹線
新大村,西九州新幹線
諫早,西九州新幹線
長崎,西九州新幹線
