station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100201,1130101,東京,トウキョウ,Tokyo,1002,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100201
100401,1130101,東京,トウキョウ,Tokyo,1004,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100401
100501,1130101,東京,トウキョウ,Tokyo,1005,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100501
100701,1130101,東京,トウキョウ,Tokyo,1007,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100701
100801,1130101,東京,トウキョウ,Tokyo,1008,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100801
100901,1130101,東京,トウキョウ,Tokyo,1009,13,100-0005,千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100901
1130101,1130101,東京,トウキョウ,tokyo,11301,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1130101
1130224,1130101,東京,トウキョウ,toukyou,11302,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391,1914-12-20,0000-00-00,0,1130224
1130801,1130101,東京,トウキョウ,tokyo,11308,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1130801
1131101,1130101,東京,トウキョウ,tokyo,11311,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1131101
1131201,1130101,東京,トウキョウ,tokyo,11312,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1131201
1131401,1130101,東京,トウキョウ,tokyo,11314,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1131401
1131934,1130101,東京,トウキョウ,toukyou,11319,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391,1914-12-20,0000-00-00,0,1131900
1132601,1130101,東京,トウキョウ,tokyo,11326,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1132601
1132809,1130101,東京,トウキョウ,tokyo,11328,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1132809
1133222,1130101,東京,トウキョウ,tokyo,11332,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1133222
1134301,1130101,東京,トウキョウ,toukyou,11343,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766103,35.681391,1914-12-20,0000-00-00,0,1134301
2800209,1130101,東京,トウキョウ,tokyo,28002,13,100-0005,東京都千代田区丸の内一丁目,139.764708,35.681753,0000-00-00,0000-00-00,0,2800209
9931108,9931108,東京国際クルーズターミナル,トウキョウコクサイクルーズターミナル,Tokyo International Cruise Terminal,99311,13,135-0064,江東区青海1丁目1-49,139.773157,35.621462,0000-00-00,0000-00-00,0,9931108
9931111,9931111,東京ビッグサイト,トウキョウビッグサイト,Tokyo Big Sight,99311,13,135-0063,江東区有明三丁目6-15,139.791228,35.630158,0000-00-00,0000-00-00,0,9931111
9933704,9933704,東京テレポート,トウキョウテレポート,toukyouterepo-to,99337,13,135-0064,江東区青海１-２,139.778896,35.62753,0000-00-00,0000-00-00,0,9933704
